N,k,v,w,t,Scattering Count,Trials
19,22,2,1,2,0,1000
20,22,2,1,2,0,1000
21,22,2,1,2,0,1000
22,22,2,1,2,0,1000
23,22,2,1,2,0,1000
24,22,2,1,2,0,1000
25,22,2,1,2,0,1000
26,22,2,1,2,0,1000
27,22,2,1,2,0,1000
28,22,2,1,2,0,1000
29,22,2,1,2,0,1000
2,24,2,1,2,25,1000
3,24,2,1,2,5,1000
4,24,2,1,2,0,1000
5,24,2,1,2,0,1000
6,24,2,1,2,0,1000
7,24,2,1,2,0,1000
8,24,2,1,2,0,1000
9,24,2,1,2,0,1000
10,24,2,1,2,0,1000
11,24,2,1,2,0,1000
12,24,2,1,2,0,1000
13,24,2,1,2,0,1000
14,24,2,1,2,0,1000
15,24,2,1,2,0,1000
16,24,2,1,2,0,1000
17,24,2,1,2,0,1000
18,24,2,1,2,0,1000
19,24,2,1,2,0,1000
20,24,2,1,2,0,1000
21,24,2,1,2,0,1000
22,24,2,1,2,0,1000
23,24,2,1,2,0,1000
24,24,2,1,2,0,1000
25,24,2,1,2,0,1000
26,24,2,1,2,0,1000
27,24,2,1,2,0,1000
28,24,2,1,2,0,1000
29,24,2,1,2,0,1000
2,26,2,1,2,33,1000
3,26,2,1,2,6,1000
4,26,2,1,2,0,1000
5,26,2,1,2,0,1000
6,26,2,1,2,0,1000
7,26,2,1,2,0,1000
8,26,2,1,2,0,1000
9,26,2,1,2,0,1000
10,26,2,1,2,0,1000
11,26,2,1,2,0,1000
12,26,2,1,2,0,1000
13,26,2,1,2,0,1000
14,26,2,1,2,0,1000
15,26,2,1,2,0,1000
16,26,2,1,2,0,1000
17,26,2,1,2,0,1000
18,26,2,1,2,0,1000
19,26,2,1,2,0,1000
20,26,2,1,2,0,1000
21,26,2,1,2,0,1000
22,26,2,1,2,0,1000
23,26,2,1,2,0,1000
24,26,2,1,2,0,1000
25,26,2,1,2,0,1000
26,26,2,1,2,0,1000
27,26,2,1,2,0,1000
28,26,2,1,2,0,1000
29,26,2,1,2,0,1000
2,28,2,1,2,21,1000
3,28,2,1,2,8,1000
4,28,2,1,2,0,1000
5,28,2,1,2,0,1000
6,28,2,1,2,0,1000
7,28,2,1,2,0,1000
8,28,2,1,2,0,1000
9,28,2,1,2,0,1000
10,28,2,1,2,0,1000
11,28,2,1,2,0,1000
12,28,2,1,2,0,1000
13,28,2,1,2,0,1000
14,28,2,1,2,0,1000
15,28,2,1,2,0,1000
16,28,2,1,2,0,1000
17,28,2,1,2,0,1000
18,28,2,1,2,0,1000
19,28,2,1,2,0,1000
20,28,2,1,2,0,1000
21,28,2,1,2,0,1000
22,28,2,1,2,0,1000
23,28,2,1,2,0,1000
24,28,2,1,2,0,1000
25,28,2,1,2,0,1000
26,28,2,1,2,0,1000
27,28,2,1,2,0,1000
28,28,2,1,2,0,1000
29,28,2,1,2,0,1000
2,30,2,1,2,16,1000
3,30,2,1,2,2,1000
4,30,2,1,2,1,1000
5,30,2,1,2,0,1000
6,30,2,1,2,0,1000
7,30,2,1,2,0,1000
8,30,2,1,2,0,1000
9,30,2,1,2,0,1000
